resolution,setup,ablation,variant,iou,dice,false_positive_rate,false_negative_rate,mean_instability,source
bimonthly,Setup 2 (medium-range),loss_component,BCE only,0.7075,0.8229,0.3028,0.1224,0.1204,results/01_statistical_analysis.ipynb + README Key Results
bimonthly,Setup 2 (medium-range),loss_component,BCE+Dice,0.7205,0.838,0.2974,0.1202,0.1204,results/01_statistical_analysis.ipynb + README Key Results
bimonthly,Setup 2 (medium-range),loss_component,Dice only,0.7018,0.8162,0.3051,0.1233,0.1204,results/01_statistical_analysis.ipynb + README Key Results
bimonthly,Setup 2 (medium-range),sequence_length,seq_len=12,0.7764,0.8689,0.0135,0.0055,0.0039,results/01_statistical_analysis.ipynb + README Key Results
bimonthly,Setup 2 (medium-range),sequence_length,seq_len=6,0.7189,0.8368,0.2898,0.1398,0.1226,results/01_statistical_analysis.ipynb + README Key Results
bimonthly,Setup 2 (medium-range),sequence_length,seq_len=9,0.7467,0.8542,0.1611,0.0701,0.0558,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),loss_component,BCE only,0.6311,0.7693,0.304,0.1262,0.1221,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),loss_component,BCE+Dice,0.6427,0.7834,0.2986,0.1239,0.1221,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),loss_component,Dice only,0.626,0.763,0.3064,0.1272,0.1221,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),sequence_length,seq_len=10,0.6751,0.8037,0.1056,0.0582,0.0371,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),sequence_length,seq_len=6,0.6418,0.7827,0.2898,0.1398,0.1226,results/01_statistical_analysis.ipynb + README Key Results
quarterly,Setup 1 (long-range),sequence_length,seq_len=8,0.6563,0.7927,0.213,0.1005,0.0807,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),loss_component,BCE only,0.6347,0.7778,0.295,0.1423,0.1226,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),loss_component,BCE+Dice,0.6463,0.7921,0.2898,0.1398,0.1226,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),loss_component,Dice only,0.6295,0.7715,0.2973,0.1434,0.1226,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),sequence_length,seq_len=4,0.6483,0.7935,0.2966,0.1175,0.1193,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),sequence_length,seq_len=5,0.6517,0.7959,0.2659,0.1215,0.1069,results/01_statistical_analysis.ipynb + README Key Results
yearly,Setup 1 (10-yr),sequence_length,seq_len=6,0.6606,0.8019,0.213,0.1037,0.0815,results/01_statistical_analysis.ipynb + README Key Results
